	Date	Game	Category	Estimate	Console	Region	Runner	
	31-7-2014 21:10:00	Grand Theft Auto 3	Any%	1:30:00	PC		Eidgod	
	31-7-2014 22:40:00	Half-Life	Any% (Hard)	0:50:00	PC		coolkid	
	31-7-2014 23:30:00	Half-Life 2	Any% Something	2:20:00	PC		Elgu & Friends	
Friday	1-8-2014 1:50:00	Swat 4	n+1 Player Co-op	1:10:00	PC		coolkid & co	
	1-8-2014 3:00:00	Hitman Blood Money	PRO/SA	1:00:00	PC		Kotti	
	1-8-2014 4:00:00	Dark Messiah of Might & Magic	Any%	1:00:00	PC		Elgu, Fatzke	
	1-8-2014 5:00:00	Nitronic Rush	Story+Hardcore	0:25:00			Yvathacal	
	1-8-2014 5:25:00	Tunnel Rats	Awful%	0:45:00	PC		Kotti	
	1-8-2014 6:10:00	Setup 		0:30:00				
	1-8-2014 6:40:00	Abadox	100%	0:20:00	NES	NTSC	WERY	
	1-8-2014 7:00:00	Friday the 13th	Any%	0:15:00	NES	NTSC	dxtr	
	1-8-2014 7:15:00	Shadowgate	Any% Glitched	0:15:00	NES	NTSC	Crippe	
	1-8-2014 7:30:00	Batman 2: Return of the Joker	100%	0:20:00	NES	NTSC	WERY	
	1-8-2014 7:50:00	Strider	Any%	0:10:00	NES	NTSC	Some people	
	1-8-2014 8:00:00	Leaf Me Alone	100%	0:25:00	PC		Gyoo	
	1-8-2014 8:25:00	Mario Golf: Toadstool Tour	All Courses	1:35:00	Wii	NTSC	DeathBasket	
	1-8-2014 10:00:00	Mario Tennis	Tennis%	0:25:00	Wii VC	NTSC	Cerberus, DeathBasket	
	1-8-2014 10:25:00	Lego Racers	Any%	0:50:00	PC		Yvathacal	
	1-8-2014 11:15:00	Toejam and Earl	Co-op	0:45:00	SNES	NTSC	Shrimp	
	1-8-2014 12:00:00	Gunstar Heroes	Any%	1:00:00	PC		Goldphnx	
	1-8-2014 13:00:00	Golden Sun	100%	5:30:00	GBA		BaalNocturno	
	1-8-2014 18:30:00	Setup 		0:30:00				
	1-8-2014 19:00:00	Pokémon Fire Red/Leaf Green	Any%	2:40:00	GB Player		MEvRNG	
	1-8-2014 21:40:00	Super Mario 64	120 Star Race	2:00:00	Wii		CpKaka, Fuzzy, Noizeeh, Hampern	
	1-8-2014 23:40:00	Super Metroid	100%	1:25:00	SNES	NTSC	Kottpower	
Saturday	2-8-2014 1:05:00	Metroid: Zero Mission	100% Race	1:30:00	GBA on GC		Dragonfangs vs. Mobiusman	
	2-8-2014 2:35:00	Bayonetta	Any%	2:20:00	X360		General_Beatrix	
	2-8-2014 4:55:00	Setup 		0:30:00				
	2-8-2014 5:25:00	Noitu Love 2: Devolution	Any% (Hard)	0:30:00	PC		Rueake	
	2-8-2014 5:55:00	Duo Princess	Any% Co-op	0:20:00	PC		Alko & KennyMan666	
	2-8-2014 6:15:00	Spinmaster	100%	0:25:00	NeoGeo AES	NTSC	WERY	
	2-8-2014 6:40:00	Takeshi's Challenge	Any% 	0:10:00	NES	J	SlaskPrask	
